Title,Ratings,Raters,Directors,Writers,Actors,Country,Language,Date,Budget,Openning Weekend,Gross USA,cumulative worldwide,Studios,Durations,Romance,Horror,Music,Fantasy,Mystery,Sci-Fi,Biography,Family,Drama,Sport,History,Thriller,Animation,Adventure,Crime,Musical,Western,War,Action,Comedy,Year,Month
King Arthur,6.3,158875.0,Antoine Fuqua,David Franzoni,"['Clive Owen', 'Stephen Dillane', 'Keira Knightley']",USA,English,2004-07-15,120000000.0,15193907.0,51882244.0,203567857.0,"['Touchstone Pictures', 'Jerry Bruckheimer Films', 'Green Hills Productions']",126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2004.0,7.0
Mission: Impossible II,6.1,312735.0,John Woo,Bruce Geller,"['Tom Cruise', 'Dougray Scott', 'Thandie Newton']",USA,English,2000-06-01,125000000.0,57845297.0,215409889.0,546388108.0,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Munich Film Partners & Company (MFP) MI2 Productions']",123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2000.0,6.0
Hall Pass,5.8,119525.0,"Bobby Farrelly, Peter Farrelly",Pete Jones,"['Owen Wilson', 'Jason Sudeikis', 'Christina Applegate']",USA,English,2011-02-25,36000000.0,13535374.0,45060734.0,86157237.0,"['New Line Cinema', 'Conundrum Entertainment']",105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2.0
She's the Man,6.3,145029.0,Andy Fickman,Ewan Leslie,"['Amanda Bynes', 'Laura Ramsey', 'Channing Tatum']",USA,English,2006-03-17,20000000.0,10730372.0,33741133.0,57194667.0,"['Dreamworks Pictures', 'Lakeshore Entertainment', ""Donners' Company""]",105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2006.0,3.0
John Tucker Must Die,5.8,79226.0,Betty Thomas,Jeff Lowell,"['Jesse Metcalfe', 'Ashanti', 'Arielle Kebbel']",USA,English,2006-09-07,18000000.0,14276534.0,41011711.0,68844775.0,"['Twentieth Century Fox', 'Landscape Entertainment', 'Dune Entertainment']",89.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,9.0
Boyhood,7.9,333904.0,Richard Linklater,Richard Linklater,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke']",USA,English,2014-09-04,4000000.0,387618.0,25352281.0,48137666.0,"['IFC Productions', 'Detour Filmproduction']",165.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,9.0
The Bourne Legacy,6.6,283643.0,Tony Gilroy,Tony Gilroy,"['Jeremy Renner', 'Rachel Weisz', 'Edward Norton']",USA,English,2012-08-16,125000000.0,38142825.0,113203870.0,276144750.0,"['Universal Pictures', 'Relativity Media', 'The Kennedy/Marshall Company']",135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2012.0,8.0
Crawl,6.2,65668.0,Alexandre Aja,Michael Rasmussen,"['Kaya Scodelario', 'Barry Pepper', 'Morfydd Clark']",USA,English,2019-07-11,13500000.0,12005210.0,39014193.0,91542097.0,"['Paramount Pictures', 'Raimi Productions']",87.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,7.0
A New York Christmas Wedding,5.2,658.0,Otoja Abit,Otoja Abit,"['Chris Noth', 'Nia Fairweather', 'Chris Trousdale']",USA,English,2020-11-06,40000000.0,14635269.5,53577751.0,99666355.0,"['Conglomerate Media', 'Willful Productions']",88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2020.0,11.0
All the Bright Places,6.5,19333.0,Brett Haley,Liz Hannah,"['Elle Fanning', 'Justice Smith', 'Alexandra Shipp']",USA,English,2020-02-28,40000000.0,14635269.5,53577751.0,99666355.0,"['Echo Lake Entertainment', 'Mazur / Kaplan Company']",107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020.0,2.0
Isle of Dogs,7.9,136703.0,Wes Anderson,Wes Anderson,"['Bryan Cranston', 'Koyu Rankin', 'Edward Norton']",Germany,English,2018-04-12,40000000.0,1620294.0,32015231.0,64241499.0,"['Indian Paintbrush', 'American Empirical Pictures', 'Scott Rudin Productions']",101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,4.0
The Next Three Days,7.4,181321.0,Paul Haggis,Paul Haggis,"['Russell Crowe', 'Elizabeth Banks', 'Liam Neeson']",USA,English,2011-01-27,30000000.0,6542779.0,21148651.0,67448651.0,"['Lionsgate', 'Hwy61', 'Fidélité Films']",133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2011.0,1.0
The Guernsey Literary and Potato Peel Pie Society,7.4,33609.0,Mike Newell,Don Roos,"['Jessica Brown Findlay', 'Tom Courtenay', 'Michiel Huisman']",UK,English,2018-04-19,40000000.0,14635269.5,53577751.0,23148937.0,"['Amazon Prime Video', 'Blueprint Pictures', 'Canal+']",124.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2018.0,4.0
Bridge to Terabithia,7.1,142298.0,Gabor Csupo,Jeff Stockwell,"['Josh Hutcherson', 'AnnaSophia Robb', 'Zooey Deschanel']",USA,English,2007-06-14,17000000.0,22564612.0,82272442.0,137587063.0,"['Walden Media', 'Hal Lieberman Company', 'Lauren Levine Productions Inc.']",96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,6.0
